southbound Lampson NS Old Esquimalt (Stop ID: 100379),48.43398014,-123.4036313
southbound Lampson NS Norma (Stop ID: 100376),48.43108054,-123.4056257
westbound Esquimalt FS Lampson (Stop ID: 100387),48.4297448,-123.4074835
westbound Esquimalt FS Fernhill (Stop ID: 100430),48.43008982,-123.4101491
westbound Esquimalt FS Fraser (Stop ID: 100470),48.43024432,-123.4132721
westbound Esquimalt NS Constance (Stop ID: 100545),48.42992998,-123.4175302
westbound Esquimalt FS Foster (Stop ID: 100597),48.42966222,-123.4220232
southbound Canteen FS Esquimalt (Stop ID: 100651),48.42889801,-123.4245177
westbound Lyall FS Moresby at Dockyard (Stop ID: 100698),48.42763605,-123.4281392
westbound Lyall FS Moresby at Dockyard (Stop ID: 100698),48.42763605,-123.4281392
eastbound Esquimalt FS Lyall at Dockyard (Stop ID: 100693),48.4283945,-123.4280701
eastbound Esquimalt NS Grafton (Stop ID: 100635),48.42935807,-123.4234342
eastbound Esquimalt NS Sturdee (Stop ID: 100594),48.42966285,-123.4208129
eastbound Esquimalt FS Admirals (Stop ID: 100526),48.42983248,-123.4165852
eastbound Esquimalt FS Park (Stop ID: 100471),48.4300972,-123.4139377
eastbound Esquimalt NS Fernhill (Stop ID: 100421),48.42994313,-123.4101679
northbound Lampson FS Fernhill (Stop ID: 100366),48.43127075,-123.4051493
northbound Lampson FS Old Esquimalt (Stop ID: 100372),48.4333897,-123.4036667
northbound Lampson FS Ellery (Stop ID: 100418),48.43757459,-123.4022317
northbound Tillicum FS Craigflower (Stop ID: 100476),48.44224787,-123.4019401
northbound Tillicum FS Gosper (Stop ID: 100501),48.44396654,-123.4013741
northbound Tillicum NS Gorge Bridge (Stop ID: 100532),48.44578444,-123.4004753
northbound Tillicum FS Arnot (Stop ID: 100576),48.44828345,-123.3997507
northbound Tillicum FS Obed (Stop ID: 100601),48.45027751,-123.3974649
northbound Tillicum FS Maddock Ave W (Stop ID: 100628),48.45221984,-123.3952586
eastbound Burnside Rd W FS Albina (Stop ID: 100623),48.45314389,-123.3920003
eastbound Burnside Rd W NS Millgrove (Stop ID: 100572),48.45176076,-123.3893365
eastbound Burnside Rd W FS Wascana (Stop ID: 100527),48.45047996,-123.3868477
northbound Harriet FS Burnside Rd E (Stop ID: 100495),48.4499026,-123.3839722
eastbound Boleskine NS Whittier (Stop ID: 100534),48.45209055,-123.3805478
eastbound Boleskine NS Douglas (Stop ID: 100535),48.45256662,-123.3762038
northbound Saanich NS Oak at Up Town Centre (Stop ID: 100564),48.45349728,-123.3746105
eastbound Saanich FS Blanshard (Stop ID: 100600),48.45531848,-123.3715355
northbound Saanich FS Darwin (Stop ID: 100645),48.45716518,-123.3693016
northbound Saanich NS Leslie (Stop ID: 100666),48.45813614,-123.3687761
northbound Saanich FS Pendene (Stop ID: 100724),48.4610564,-123.3690492
northbound Saanich NS Lodge (Stop ID: 100760),48.46265179,-123.3679756
northbound Saanich FS Greenridge (Stop ID: 100836),48.46646679,-123.3689252
northbound Saanich NS McKenzie (Stop ID: 100892),48.46906287,-123.3708823
eastbound McKenzie FS Quadra (Stop ID: 100919),48.47000001,-123.3638868
eastbound McKenzie FS Borden (Stop ID: 100926),48.4704061,-123.3607081
eastbound McKenzie FS Century (Stop ID: 100953),48.47143136,-123.3543293
eastbound McKenzie FS Blenkinsop (Stop ID: 100967),48.471885,-123.3504578
eastbound McKenzie FS Braefoot (Stop ID: 100975),48.47176207,-123.3464048
southbound 1410 block McKenzie (Stop ID: 100973),48.4708842,-123.3438673
southbound McKenzie NS Long Gun (Stop ID: 100964),48.46976688,-123.3424308
eastbound McKenzie FS Oakwinds (Stop ID: 100957),48.4685763,-123.3393559
eastbound McKenzie FS Cedar Hill (Stop ID: 100971),48.46854768,-123.3348255
eastbound McKenzie FS Shelbourne (Stop ID: 100988),48.46851834,-123.3320518
eastbound McKenzie FS Cedarwood (Stop ID: 100999),48.46853874,-123.3280102
eastbound McKenzie NS Fleet (Stop ID: 101020),48.4685411,-123.3238122
eastbound McKenzie NS Gordon Head (Stop ID: 101037),48.46848449,-123.3209082
westbound Ring FS McGill at UVIC-Fraser Building (Stop ID: 101011),48.46368758,-123.3163375
southbound Ring NS West Campus at UVIC-Fine Arts Building (Stop ID: 100991),48.46191601,-123.316041
northbound Ring FS University Dr at UVIC - Bob Wright Centre (Stop ID: 101036),48.46177683,-123.3083811
Bay 7 at UVIC Exchange (Stop ID: 102426),48.46607925,-123.3090015
westbound Lyall FS Moresby at Dockyard (Stop ID: 100698),48.42763605,-123.4281392
eastbound Esquimalt FS Lyall at Dockyard (Stop ID: 100693),48.4283945,-123.4280701
eastbound Esquimalt NS Grafton (Stop ID: 100635),48.42935807,-123.4234342
eastbound Esquimalt NS Sturdee (Stop ID: 100594),48.42966285,-123.4208129
eastbound Esquimalt FS Admirals (Stop ID: 100526),48.42983248,-123.4165852
eastbound Esquimalt FS Park (Stop ID: 100471),48.4300972,-123.4139377
eastbound Esquimalt NS Fernhill (Stop ID: 100421),48.42994313,-123.4101679
northbound Lampson FS Fernhill (Stop ID: 100366),48.43127075,-123.4051493
northbound Lampson FS Old Esquimalt (Stop ID: 100372),48.4333897,-123.4036667
northbound Lampson FS Ellery (Stop ID: 100418),48.43757459,-123.4022317
northbound Tillicum FS Craigflower (Stop ID: 100476),48.44224787,-123.4019401
northbound Tillicum FS Gosper (Stop ID: 100501),48.44396654,-123.4013741
northbound Tillicum NS Gorge Bridge (Stop ID: 100532),48.44578444,-123.4004753
northbound Tillicum FS Arnot (Stop ID: 100576),48.44828345,-123.3997507
northbound Tillicum FS Obed (Stop ID: 100601),48.45027751,-123.3974649
northbound Tillicum FS Maddock Ave W (Stop ID: 100628),48.45221984,-123.3952586
eastbound Burnside Rd W FS Albina (Stop ID: 100623),48.45314389,-123.3920003
eastbound Burnside Rd W NS Millgrove (Stop ID: 100572),48.45176076,-123.3893365
eastbound Burnside Rd W FS Wascana (Stop ID: 100527),48.45047996,-123.3868477
northbound Harriet FS Burnside Rd E (Stop ID: 100495),48.4499026,-123.3839722
eastbound Boleskine NS Whittier (Stop ID: 100534),48.45209055,-123.3805478
eastbound Boleskine NS Douglas (Stop ID: 100535),48.45256662,-123.3762038
northbound Saanich NS Oak at Up Town Centre (Stop ID: 100564),48.45349728,-123.3746105
eastbound Saanich FS Blanshard (Stop ID: 100600),48.45531848,-123.3715355
northbound Saanich FS Darwin (Stop ID: 100645),48.45716518,-123.3693016
northbound Saanich NS Leslie (Stop ID: 100666),48.45813614,-123.3687761
northbound Saanich FS Pendene (Stop ID: 100724),48.4610564,-123.3690492
northbound Saanich NS Lodge (Stop ID: 100760),48.46265179,-123.3679756
northbound Saanich FS Greenridge (Stop ID: 100836),48.46646679,-123.3689252
northbound Saanich NS McKenzie (Stop ID: 100892),48.46906287,-123.3708823
eastbound McKenzie FS Quadra (Stop ID: 100919),48.47000001,-123.3638868
eastbound McKenzie FS Borden (Stop ID: 100926),48.4704061,-123.3607081
eastbound McKenzie FS Century (Stop ID: 100953),48.47143136,-123.3543293
eastbound McKenzie FS Blenkinsop (Stop ID: 100967),48.471885,-123.3504578
eastbound McKenzie FS Braefoot (Stop ID: 100975),48.47176207,-123.3464048
southbound 1410 block McKenzie (Stop ID: 100973),48.4708842,-123.3438673
southbound McKenzie NS Long Gun (Stop ID: 100964),48.46976688,-123.3424308
eastbound McKenzie FS Oakwinds (Stop ID: 100957),48.4685763,-123.3393559
eastbound McKenzie FS Cedar Hill (Stop ID: 100971),48.46854768,-123.3348255
eastbound McKenzie FS Shelbourne (Stop ID: 100988),48.46851834,-123.3320518
eastbound McKenzie FS Cedarwood (Stop ID: 100999),48.46853874,-123.3280102
eastbound McKenzie NS Fleet (Stop ID: 101020),48.4685411,-123.3238122
eastbound McKenzie NS Gordon Head (Stop ID: 101037),48.46848449,-123.3209082
westbound Ring FS McGill at UVIC-Fraser Building (Stop ID: 101011),48.46368758,-123.3163375
southbound Ring NS West Campus at UVIC-Fine Arts Building (Stop ID: 100991),48.46191601,-123.316041
northbound Ring FS University Dr at UVIC - Bob Wright Centre (Stop ID: 101036),48.46177683,-123.3083811
Bay 7 at UVIC Exchange (Stop ID: 102426),48.46607925,-123.3090015
westbound Lyall FS Moresby at Dockyard (Stop ID: 100698),48.42763605,-123.4281392
eastbound Esquimalt FS Lyall at Dockyard (Stop ID: 100693),48.4283945,-123.4280701
eastbound Esquimalt NS Grafton (Stop ID: 100635),48.42935807,-123.4234342
eastbound Esquimalt NS Sturdee (Stop ID: 100594),48.42966285,-123.4208129
eastbound Esquimalt FS Admirals (Stop ID: 100526),48.42983248,-123.4165852
eastbound Esquimalt FS Park (Stop ID: 100471),48.4300972,-123.4139377
eastbound Esquimalt NS Fernhill (Stop ID: 100421),48.42994313,-123.4101679
northbound Lampson FS Fernhill (Stop ID: 100366),48.43127075,-123.4051493
northbound Lampson FS Old Esquimalt (Stop ID: 100372),48.4333897,-123.4036667
northbound Lampson FS Ellery (Stop ID: 100418),48.43757459,-123.4022317
northbound Tillicum FS Craigflower (Stop ID: 100476),48.44224787,-123.4019401
northbound Tillicum FS Gosper (Stop ID: 100501),48.44396654,-123.4013741
northbound Tillicum NS Gorge Bridge (Stop ID: 100532),48.44578444,-123.4004753
northbound Tillicum FS Arnot (Stop ID: 100576),48.44828345,-123.3997507
northbound Tillicum FS Obed (Stop ID: 100601),48.45027751,-123.3974649
northbound Tillicum FS Maddock Ave W (Stop ID: 100628),48.45221984,-123.3952586
eastbound Burnside Rd W FS Albina (Stop ID: 100623),48.45314389,-123.3920003
eastbound Burnside Rd W NS Millgrove (Stop ID: 100572),48.45176076,-123.3893365
eastbound Burnside Rd W FS Wascana (Stop ID: 100527),48.45047996,-123.3868477
northbound Harriet FS Burnside Rd E (Stop ID: 100495),48.4499026,-123.3839722
eastbound Boleskine NS Whittier (Stop ID: 100534),48.45209055,-123.3805478
eastbound Boleskine NS Douglas (Stop ID: 100535),48.45256662,-123.3762038
northbound Saanich NS Oak at Up Town Centre (Stop ID: 100564),48.45349728,-123.3746105
eastbound Saanich FS Blanshard (Stop ID: 100600),48.45531848,-123.3715355
northbound Saanich FS Darwin (Stop ID: 100645),48.45716518,-123.3693016
northbound Saanich NS Leslie (Stop ID: 100666),48.45813614,-123.3687761
northbound Saanich FS Pendene (Stop ID: 100724),48.4610564,-123.3690492
northbound Saanich NS Lodge (Stop ID: 100760),48.46265179,-123.3679756
northbound Saanich FS Greenridge (Stop ID: 100836),48.46646679,-123.3689252
northbound Saanich NS McKenzie (Stop ID: 100892),48.46906287,-123.3708823
eastbound McKenzie FS Quadra (Stop ID: 100919),48.47000001,-123.3638868
eastbound McKenzie FS Borden (Stop ID: 100926),48.4704061,-123.3607081
eastbound McKenzie FS Century (Stop ID: 100953),48.47143136,-123.3543293
eastbound McKenzie FS Blenkinsop (Stop ID: 100967),48.471885,-123.3504578
eastbound McKenzie FS Braefoot (Stop ID: 100975),48.47176207,-123.3464048
southbound 1410 block McKenzie (Stop ID: 100973),48.4708842,-123.3438673
southbound McKenzie NS Long Gun (Stop ID: 100964),48.46976688,-123.3424308
eastbound McKenzie FS Oakwinds (Stop ID: 100957),48.4685763,-123.3393559
eastbound McKenzie FS Cedar Hill (Stop ID: 100971),48.46854768,-123.3348255
eastbound McKenzie FS Shelbourne (Stop ID: 100988),48.46851834,-123.3320518
eastbound McKenzie FS Cedarwood (Stop ID: 100999),48.46853874,-123.3280102
eastbound McKenzie NS Fleet (Stop ID: 101020),48.4685411,-123.3238122
eastbound McKenzie NS Gordon Head (Stop ID: 101037),48.46848449,-123.3209082
westbound Ring FS McGill at UVIC-Fraser Building (Stop ID: 101011),48.46368758,-123.3163375
southbound Ring NS West Campus at UVIC-Fine Arts Building (Stop ID: 100991),48.46191601,-123.316041
northbound Ring FS University Dr at UVIC - Bob Wright Centre (Stop ID: 101036),48.46177683,-123.3083811
Bay 7 at UVIC Exchange (Stop ID: 102426),48.46607925,-123.3090015
Bay 7 at UVIC Exchange (Stop ID: 102426),48.46607925,-123.3090015
westbound 2160 block McKenzie (Stop ID: 101107),48.46895205,-123.3122317
westbound McKenzie FS Gordon Head (Stop ID: 101043),48.46869973,-123.3208867
westbound McKenzie FS Larchwood (Stop ID: 101019),48.46867657,-123.3250702
westbound McKenzie FS Cedarwood (Stop ID: 100998),48.46869629,-123.3295203
westbound McKenzie FS Shelbourne (Stop ID: 100972),48.46873132,-123.3334735
westbound McKenzie FS Cedar Hill (Stop ID: 100985),48.46871792,-123.3358719
westbound McKenzie FS Oakwinds (Stop ID: 100959),48.46874895,-123.340219
northbound 1420 block McKenzie (Stop ID: 100969),48.47048692,-123.3429912
westbound 1400 block McKenzie (Stop ID: 100982),48.47159599,-123.3446396
westbound McKenzie FS Braefoot (Stop ID: 100979),48.47215849,-123.3475558
westbound McKenzie FS Blenkinsop (Stop ID: 100966),48.47196658,-123.3518072
westbound McKenzie NS Century (Stop ID: 100955),48.47152696,-123.3548225
westbound McKenzie FS Borden (Stop ID: 100927),48.47039016,-123.3621456
westbound McKenzie FS Quadra (Stop ID: 100918),48.46994942,-123.3660078
southbound Saanich FS McKenzie (Stop ID: 100891),48.46889478,-123.3710415
southbound Saanich FS Greenridge (Stop ID: 100831),48.46616842,-123.3687398
southbound Saanich FS Lodge (Stop ID: 100759),48.46284195,-123.36806
southbound Saanich FS Pendene (Stop ID: 100722),48.46071352,-123.3690839
southbound Saanich FS Swan (Stop ID: 100675),48.45857197,-123.3688508
southbound Saanich FS Calumet (Stop ID: 100643),48.45678102,-123.3697397
westbound Saanich FS Blanshard at Up Town Centre (Stop ID: 100593),48.45495977,-123.3729299
southbound Saanich FS Oak at Up Town Centre (Stop ID: 100571),48.45394477,-123.3746166
westbound Boleskine FS Douglas (Stop ID: 100542),48.45272978,-123.3763883
westbound Harriet NS Irma (Stop ID: 100538),48.45193133,-123.3820495
southbound Harriet NS Burnside Rd E (Stop ID: 100494),48.4497295,-123.3844862
westbound Burnside Rd W FS QuAppelle (Stop ID: 100523),48.4503508,-123.3861826
westbound Burnside Rd W NS Donald (Stop ID: 100587),48.45229552,-123.3900443
westbound Burnside Rd W FS Orillia (Stop ID: 100620),48.45315851,-123.3916226
southbound Tillicum FS Burnside Rd W at Tillicum Mall (Stop ID: 100648),48.45333882,-123.3943627
southbound Tillicum FS Maddock Ave W (Stop ID: 100619),48.45154202,-123.3963383
southbound Tillicum FS Obed (Stop ID: 100598),48.44972594,-123.3983737
southbound Tillicum FS Arnot (Stop ID: 100581),48.44805293,-123.4003271
southbound Tillicum FS Gorge Bridge (Stop ID: 100539),48.44545344,-123.4009221
southbound Tillicum FS Gosper (Stop ID: 100509),48.44367789,-123.4016923
southbound Tillicum FS Craigflower (Stop ID: 100483),48.44130924,-123.4024364
southbound Lampson FS Colville (Stop ID: 100419),48.4385405,-123.4021049
southbound Lampson NS Wurtele (Stop ID: 100408),48.43704768,-123.4026139
southbound Lampson NS Old Esquimalt (Stop ID: 100379),48.43398014,-123.4036313
southbound Lampson NS Norma (Stop ID: 100376),48.43108054,-123.4056257
westbound Esquimalt FS Lampson (Stop ID: 100387),48.4297448,-123.4074835
westbound Esquimalt FS Fernhill (Stop ID: 100430),48.43008982,-123.4101491
westbound Esquimalt FS Fraser (Stop ID: 100470),48.43024432,-123.4132721
westbound Esquimalt NS Constance (Stop ID: 100545),48.42992998,-123.4175302
westbound Esquimalt FS Foster (Stop ID: 100597),48.42966222,-123.4220232
southbound Canteen FS Esquimalt (Stop ID: 100651),48.42889801,-123.4245177
westbound Lyall FS Moresby at Dockyard (Stop ID: 100698),48.42763605,-123.4281392
Bay 7 at UVIC Exchange (Stop ID: 102426),48.46607925,-123.3090015
westbound 2160 block McKenzie (Stop ID: 101107),48.46895205,-123.3122317
westbound McKenzie FS Gordon Head (Stop ID: 101043),48.46869973,-123.3208867
westbound McKenzie FS Larchwood (Stop ID: 101019),48.46867657,-123.3250702
westbound McKenzie FS Cedarwood (Stop ID: 100998),48.46869629,-123.3295203
westbound McKenzie FS Shelbourne (Stop ID: 100972),48.46873132,-123.3334735
westbound McKenzie FS Cedar Hill (Stop ID: 100985),48.46871792,-123.3358719
westbound McKenzie FS Oakwinds (Stop ID: 100959),48.46874895,-123.340219
northbound 1420 block McKenzie (Stop ID: 100969),48.47048692,-123.3429912
westbound 1400 block McKenzie (Stop ID: 100982),48.47159599,-123.3446396
westbound McKenzie FS Braefoot (Stop ID: 100979),48.47215849,-123.3475558
westbound McKenzie FS Blenkinsop (Stop ID: 100966),48.47196658,-123.3518072
westbound McKenzie NS Century (Stop ID: 100955),48.47152696,-123.3548225
westbound McKenzie FS Borden (Stop ID: 100927),48.47039016,-123.3621456
westbound McKenzie FS Quadra (Stop ID: 100918),48.46994942,-123.3660078
southbound Saanich FS McKenzie (Stop ID: 100891),48.46889478,-123.3710415
southbound Saanich FS Greenridge (Stop ID: 100831),48.46616842,-123.3687398
southbound Saanich FS Lodge (Stop ID: 100759),48.46284195,-123.36806
southbound Saanich FS Pendene (Stop ID: 100722),48.46071352,-123.3690839
southbound Saanich FS Swan (Stop ID: 100675),48.45857197,-123.3688508
southbound Saanich FS Calumet (Stop ID: 100643),48.45678102,-123.3697397
westbound Saanich FS Blanshard at Up Town Centre (Stop ID: 100593),48.45495977,-123.3729299
southbound Saanich FS Oak at Up Town Centre (Stop ID: 100571),48.45394477,-123.3746166
westbound Boleskine FS Douglas (Stop ID: 100542),48.45272978,-123.3763883
westbound Harriet NS Irma (Stop ID: 100538),48.45193133,-123.3820495
southbound Harriet NS Burnside Rd E (Stop ID: 100494),48.4497295,-123.3844862
westbound Burnside Rd W FS QuAppelle (Stop ID: 100523),48.4503508,-123.3861826
westbound Burnside Rd W NS Donald (Stop ID: 100587),48.45229552,-123.3900443
westbound Burnside Rd W FS Orillia (Stop ID: 100620),48.45315851,-123.3916226
Bay 2 at Tillicum Mall (Stop ID: 100672),48.45435651,-123.3965387
southbound Tillicum FS Maddock Ave W (Stop ID: 100619),48.45154202,-123.3963383
southbound Tillicum FS Obed (Stop ID: 100598),48.44972594,-123.3983737
southbound Tillicum FS Arnot (Stop ID: 100581),48.44805293,-123.4003271
southbound Tillicum FS Gorge Bridge (Stop ID: 100539),48.44545344,-123.4009221
southbound Tillicum FS Gosper (Stop ID: 100509),48.44367789,-123.4016923
southbound Tillicum FS Craigflower (Stop ID: 100483),48.44130924,-123.4024364
southbound Lampson FS Colville (Stop ID: 100419),48.4385405,-123.4021049
southbound Lampson NS Wurtele (Stop ID: 100408),48.43704768,-123.4026139
southbound Lampson NS Old Esquimalt (Stop ID: 100379),48.43398014,-123.4036313
southbound Lampson NS Norma (Stop ID: 100376),48.43108054,-123.4056257
westbound Esquimalt FS Lampson (Stop ID: 100387),48.4297448,-123.4074835
westbound Esquimalt FS Fernhill (Stop ID: 100430),48.43008982,-123.4101491
westbound Esquimalt FS Fraser (Stop ID: 100470),48.43024432,-123.4132721
westbound Esquimalt NS Constance (Stop ID: 100545),48.42992998,-123.4175302
